Data as of,Year,HSA_NCI,Health.Service.Area.Description,Total Number of Deaths,Number of COVID19 Deaths,Footnote
03/08/2021,2020,1,"Allegany (Cumberland), MD - Garrett, MD",1605,230,
03/08/2021,2020,2,"Kenton (Covington), KY - Campbell, KY",4260,311,
03/08/2021,2020,3,"Sussex, DE - Kent, DE",5260,523,
03/08/2021,2020,4,"Hartford (Hartford), CT - Tolland, CT",12353,2046,
03/08/2021,2020,5,"Newport News City, VA - Hampton City, VA",5666,263,
03/08/2021,2020,6,"Currituck, NC",202,,Data suppressed (counts from 1-9)
03/08/2021,2020,7,"Kanawha (Charleston), WV - Putnam, WV",4557,312,
03/08/2021,2020,8,"Schuylkill, PA - Northumberland, PA",4896,639,
03/08/2021,2020,9,"Cumberland (Portland), ME - Knox, ME",4286,119,
03/08/2021,2020,10,"Albany (Albany), NY - Rensselaer, NY",4793,329,
03/08/2021,2020,11,"Floyd, KY - Johnson, KY",1179,87,
03/08/2021,2020,12,"Massac, IL - Johnson, IL",403,48,
03/08/2021,2020,13,"Pike, KY",963,48,
03/08/2021,2020,14,"Roanoke City, VA - Roanoke, VA",7645,510,
03/08/2021,2020,15,"Grafton, NH - Sullivan, NH",1359,23,
03/08/2021,2020,16,"Baltimore, MD - Baltimore City, MD",27443,2659,
03/08/2021,2020,17,"Penobscot (Bangor), ME - Hancock, ME",3304,73,
03/08/2021,2020,18,"Fayette (Lexington-Fayette), KY - Jessamine, KY",6335,369,
03/08/2021,2020,19,"Broome (Binghamton), NY - Tioga, NY",2980,314,
03/08/2021,2020,20,"New London, CT",2772,296,
03/08/2021,2020,21,"Ontario (Geneva), NY - Wayne, NY",2784,185,
03/08/2021,2020,22,"Middlesex, MA - Suffolk (Boston), MA",35438,5431,
03/08/2021,2020,23,"Camden (Camden), NJ - Burlington, NJ",14896,1909,
03/08/2021,2020,24,"Belmont, OH - Monroe, OH",1211,128,
03/08/2021,2020,25,"Frederick, VA - Shenandoah, VA",2482,192,
03/08/2021,2020,26,"Centre (State College), PA - Clearfield, PA",2841,282,
03/08/2021,2020,27,"Boyle, KY - Lincoln, KY",1571,167,
03/08/2021,2020,28,"Philadelphia (Philadelphia), PA - Montgomery, PA",45405,6508,
03/08/2021,2020,29,"Warren, KY - Logan, KY",2556,254,
03/08/2021,2020,30,"Alleghany Cnty & Clifton Forge Cty, VA - Covington City, VA",445,33,
03/08/2021,2020,31,"Monongalia, WV - Marion, WV",2208,99,
03/08/2021,2020,32,"Hampden (Springfield), MA - Hampshire, MA",7177,991,
03/08/2021,2020,33,"Henrico (Richmond), VA - Chesterfield, VA",13342,915,
03/08/2021,2020,34,"Washington, OH",835,83,
03/08/2021,2020,35,"Cattaraugus, NY - Allegany, NY",1485,129,
03/08/2021,2020,36,"Bergen, NJ - Hudson (Jersey City), NJ",20591,5103,
03/08/2021,2020,37,"Pulaski, KY - Wayne, KY",1499,111,
03/08/2021,2020,38,"Kennebec, ME - Somerset, ME",2580,78,
03/08/2021,2020,39,"Tazewell, VA - Buchanan, VA",1173,74,
03/08/2021,2020,40,"Henderson (Henderson), KY - Union, KY",794,76,
03/08/2021,2020,41,"Westchester (Yonkers), NY - Dutchess, NY",15210,2532,
03/08/2021,2020,42,"Allegheny (Pittsburgh), PA - Westmoreland, PA",27011,2448,
03/08/2021,2020,43,"Dauphin (Harrisburg), PA - Cumberland, PA",8153,917,
03/08/2021,2020,44,"Lycoming (Williamsport), PA - Clinton, PA",1893,183,
03/08/2021,2020,45,"Christian (Hopkinsville), KY - Hopkins, KY",2686,281,
03/08/2021,2020,46,"Boyd, KY - Greenup, KY",2046,145,
03/08/2021,2020,47,"Lackawanna (Scranton), PA - Wayne, PA",3618,320,
03/08/2021,2020,48,"Frederick, MD",2212,207,
03/08/2021,2020,49,"Chittenden (Burlington), VT - Franklin, VT",2134,105,
03/08/2021,2020,50,"Randolph, WV - Barbour, WV",881,31,
03/08/2021,2020,51,"Laurel, KY - Whitley, KY",2145,120,
03/08/2021,2020,52,"Venango, PA - Clarion, PA",1366,118,
03/08/2021,2020,53,"Barren, KY - Hart, KY",1226,146,
03/08/2021,2020,54,"Erie (Buffalo), NY - Monroe, NY",24017,2468,
03/08/2021,2020,55,"Wise, VA - Lee, VA",1271,107,
03/08/2021,2020,56,"Onondaga (Syracuse), NY - Oswego, NY",7190,617,
03/08/2021,2020,57,"Cambria, PA - Blair (Altoona), PA",5901,730,
03/08/2021,2020,58,"Otsego, NY - Chenango, NY",2225,87,
03/08/2021,2020,59,"Oneida (Utica), NY - Madison, NY",4382,388,
03/08/2021,2020,60,"Raleigh, WV - Fayette, WV",2481,110,
03/08/2021,2020,61,"District of Columbia, DC",6182,885,
03/08/2021,2020,62,"Madison, KY - Rockcastle, KY",1636,117,
03/08/2021,2020,63,"Rockingham, VA - Harrisonburg City, VA",1633,166,
03/08/2021,2020,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",4742,472,
03/08/2021,2020,65,"Steuben, NY - Chemung (Elmira), NY",2505,259,
03/08/2021,2020,66,"Essex (Newark), NJ - Middlesex, NJ",25455,5751,
03/08/2021,2020,67,"Rowan, KY - Morgan, KY",602,17,
03/08/2021,2020,68,"Bristol (New Bedford), MA",6426,865,
03/08/2021,2020,69,"Fairfax, VA - Arlington, VA",10525,1186,
03/08/2021,2020,70,"Montgomery, VA - Pulaski, VA",2159,172,
03/08/2021,2020,71,"Halifax with South Boston City, VA - Mecklenburg, VA",1261,125,
03/08/2021,2020,72,"Washington (Hagerstown), MD",1966,198,
03/08/2021,2020,73,"Alleghany, NC",136,,Data suppressed (counts from 1-9)
03/08/2021,2020,74,"Essex (Lynn), MA",8349,1348,
03/08/2021,2020,75,"New Castle (Wilmington), DE",5670,508,
03/08/2021,2020,76,"Fulton, NY - Montgomery (Amsterdam), NY",1344,91,
03/08/2021,2020,77,"Petersburg City, VA - Prince George, VA",1803,116,
03/08/2021,2020,78,"Luzerne (Wilkes-Barre), PA - Columbia, PA",5830,625,
03/08/2021,2020,79,"Henry, VA - Patrick, VA",1451,143,
03/08/2021,2020,80,"St. Lawrence, NY - Jefferson, NY",2313,72,
03/08/2021,2020,81,"Clinton, NY - Franklin, NY",1764,35,
03/08/2021,2020,82,"Taylor, KY - Adair, KY",1153,133,
03/08/2021,2020,83,"Suffolk, NY - Nassau, NY",30272,6054,
03/08/2021,2020,84,"Lehigh (Allentown), PA - Northampton, PA",10313,1350,
03/08/2021,2020,85,"New Haven (New Haven), CT - Litchfield, CT",13574,2076,
03/08/2021,2020,86,"Orange (Newburgh), NY - Sullivan, NY",4399,698,
03/08/2021,2020,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",6536,1116,
03/08/2021,2020,88,"Saratoga, NY - Schenectady (Schenectady), NY",5405,232,
03/08/2021,2020,89,"Hardin, KY - Meade, KY",2350,182,
03/08/2021,2020,90,"Cheshire, NH",773,11,
03/08/2021,2020,91,"Hillsborough (Manchester), NH - Merrimack, NH",6941,586,
03/08/2021,2020,92,"Harrison, WV - Upshur, WV",1777,55,
03/08/2021,2020,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",2352,325,
03/08/2021,2020,94,"Kings (New York), NY - Queens, NY",82883,22991,
03/08/2021,2020,95,"Androscoggin (Lewiston), ME - Oxford, ME",2326,87,
03/08/2021,2020,96,"Harlan, KY - Bell, KY",990,77,
03/08/2021,2020,97,"Augusta, VA - Staunton City, VA",2061,146,
03/08/2021,2020,98,"York, ME",2282,93,
03/08/2021,2020,99,"Albemarle, VA - Charlottesville City, VA",3740,198,
03/08/2021,2020,100,"Washington, PA - Fayette, PA",5222,369,
03/08/2021,2020,101,"Worcester (Worcester), MA - Franklin, MA",9098,1297,
03/08/2021,2020,102,"Bourbon (Paris), KY - Nicholas, KY",342,,Data suppressed (counts from 1-9)
03/08/2021,2020,103,"Caledonia, VT - Orleans, VT",914,15,
03/08/2021,2020,104,"Clinton, KY - Cumberland, KY",286,30,
03/08/2021,2020,105,"Tompkins, NY - Cortland, NY",1233,61,
03/08/2021,2020,106,"Chautauqua, NY",1562,43,
03/08/2021,2020,107,"Queen Annes, MD - Talbot, MD",1864,86,
03/08/2021,2020,108,"Monmouth, NJ - Ocean (Brick Township), NJ",15616,2284,
03/08/2021,2020,109,"Prince William (Dale City), VA - Fauquier, VA",3648,425,
03/08/2021,2020,110,"Mifflin, PA - Huntingdon, PA",1635,291,
03/08/2021,2020,112,"Berkshire (Pittsfield), MA",1677,127,
03/08/2021,2020,114,"Franklin, KY - Anderson, KY",1077,68,
03/08/2021,2020,115,"Calloway, KY",469,41,
03/08/2021,2020,116,"Mason, KY - Fleming, KY",554,49,
03/08/2021,2020,117,"Crawford, PA",1094,105,
03/08/2021,2020,119,"Harrison, KY - Robertson, KY",297,17,
03/08/2021,2020,121,"Fairfield, CT",8733,1710,
03/08/2021,2020,122,"Rutland, VT",781,,Data suppressed (counts from 1-9)
03/08/2021,2020,123,"Letcher, KY",368,24,
03/08/2021,2020,124,"Kent, MD",324,37,
03/08/2021,2020,125,"Elk, PA",377,22,
03/08/2021,2020,126,"Mercer, NJ",3766,660,
03/08/2021,2020,127,"Cumberland, NJ",1911,199,
03/08/2021,2020,128,"Tioga, PA",523,85,
03/08/2021,2020,129,"Lawrence, PA",1395,150,
03/08/2021,2020,130,"Brunswick, VA - Greensville, VA",502,56,
03/08/2021,2020,131,"Montgomery, KY - Bath, KY",535,30,
03/08/2021,2020,132,"Caswell, NC",305,13,
03/08/2021,2020,135,"Stafford, VA - Spotsylvania, VA",2853,163,
03/08/2021,2020,136,"Aroostook, ME",963,24,
03/08/2021,2020,137,"Accomack, VA - Northampton, VA",737,64,
03/08/2021,2020,138,"Coos, NH",479,21,
03/08/2021,2020,139,"Berks, PA",4618,611,
03/08/2021,2020,140,"Lancaster, PA",6065,792,
03/08/2021,2020,141,"Walker, GA - Catoosa, GA",1981,134,
03/08/2021,2020,142,"Orange (Orlando), FL - Volusia, FL",31267,2056,
03/08/2021,2020,143,"Chatham (Savannah), GA - Liberty, GA",4769,347,
03/08/2021,2020,144,"Dougherty (Albany), GA - Lee, GA",2466,385,
03/08/2021,2020,145,"Whitfield, GA - Murray, GA",1541,192,
03/08/2021,2020,146,"DeSoto, MS - Marshall, MS",3421,414,
03/08/2021,2020,147,"Knox (Knoxville), TN - Blount, TN",11143,721,
03/08/2021,2020,148,"Davidson (Nashville-Davidson), TN - Williamson, TN",10784,967,
03/08/2021,2020,149,"Forsyth (Winston-Salem), NC - Surry, NC",5681,263,
03/08/2021,2020,150,"Jefferson (Birmingham), AL - Shelby, AL",15851,1598,
03/08/2021,2020,151,"Sullivan (Kingsport), TN - Hawkins, TN",3431,264,
03/08/2021,2020,152,"Warren, GA - Glascock, GA",169,15,
03/08/2021,2020,153,"Fulton (Atlanta), GA - DeKalb, GA",21278,2037,
03/08/2021,2020,154,"Floyd, GA - Bartow, GA",4169,391,
03/08/2021,2020,155,"Bay (Panama City), FL - Jackson, FL",4029,410,
03/08/2021,2020,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL",2944,365,
03/08/2021,2020,157,"Hall, GA - Habersham, GA",4408,459,
03/08/2021,2020,158,"Duval (Jacksonville), FL - Clay, FL",13716,1022,
03/08/2021,2020,159,"Alachua (Gainesville), FL - Columbia, FL",6046,520,
03/08/2021,2020,160,"Richland (Columbia), SC - Lexington, SC",7757,701,
03/08/2021,2020,161,"Mobile (Mobile), AL - Baldwin, AL",8840,776,
03/08/2021,2020,162,"Houston (Dothan), AL - Dale, AL",3877,463,
03/08/2021,2020,163,"Escambia, AL - Conecuh, AL",814,92,
03/08/2021,2020,164,"Morgan, GA - Greene, GA",499,40,
03/08/2021,2020,165,"Lee (Cape Coral), FL - Collier, FL",13178,1113,
03/08/2021,2020,166,"Russell, AL",747,76,
03/08/2021,2020,167,"Mecklenburg (Charlotte), NC - Union, NC",8183,590,
03/08/2021,2020,168,"New Hanover (Wilmington), NC - Brunswick, NC",4003,129,
03/08/2021,2020,169,"Washington (Johnson City), TN - Carter, TN",3080,278,
03/08/2021,2020,170,"Durham (Durham), NC - Granville, NC",3927,226,
03/08/2021,2020,171,"Montgomery (Montgomery), AL - Autauga, AL",5087,640,
03/08/2021,2020,172,"Chambers, AL - Randolph, AL",952,137,
03/08/2021,2020,173,"Gilmer, GA - Fannin, GA",841,65,
03/08/2021,2020,174,"Ware, GA - Pierce, GA",1179,157,
03/08/2021,2020,175,"Dallas, AL - Marengo, AL",1290,184,
03/08/2021,2020,176,"Orangeburg, SC - Bamberg, SC",1951,210,
03/08/2021,2020,177,"Calhoun (Anniston), AL - Cleburne, AL",2013,218,
03/08/2021,2020,178,"Thomas, GA - Mitchell, GA",1268,172,
03/08/2021,2020,179,"Lee (Auburn), AL - Elmore, AL",3254,376,
03/08/2021,2020,180,"Lowndes, GA - Brooks, GA",2052,223,
03/08/2021,2020,181,"Fulton, KY",117,21,
03/08/2021,2020,182,"Greenville (Greenville), SC - Anderson, SC",10694,1016,
03/08/2021,2020,183,"Leon (Tallahassee), FL - Gadsden, FL",4527,369,
03/08/2021,2020,184,"Florence (Florence), SC - Darlington, SC",4618,530,
03/08/2021,2020,185,"Morgan (Decatur), AL - Lawrence, AL",2261,245,
03/08/2021,2020,186,"Guilford (Greensboro), NC - Davidson, NC",8962,474,
03/08/2021,2020,187,"Laurens, SC - Greenwood, SC",2686,259,
03/08/2021,2020,188,"Madison (Jackson), TN - Gibson, TN",3962,500,
03/08/2021,2020,189,"Tift, GA - Ben Hill, GA",1081,171,
03/08/2021,2020,190,"Cobb (Marietta), GA",5314,498,
03/08/2021,2020,191,"Polk, NC",264,17,
03/08/2021,2020,192,"Iredell (Statesville), NC - Alexander, NC",2000,91,
03/08/2021,2020,193,"Bibb (Macon), GA - Houston, GA",5577,542,
03/08/2021,2020,194,"Watauga, NC - Ashe, NC",655,31,
03/08/2021,2020,195,"Pitt, NC - Beaufort, NC",2378,153,
03/08/2021,2020,196,"Sumter, SC - Clarendon, SC",2259,267,
03/08/2021,2020,197,"Sumter, GA - Crisp, GA",1266,172,
03/08/2021,2020,198,"Wake (Raleigh), NC - Johnston, NC",8328,500,
03/08/2021,2020,199,"Marion, SC - Dillon, SC",1039,131,
03/08/2021,2020,200,"Miami-Dade (Miami), FL - Broward, FL",44365,6061,
03/08/2021,2020,201,"Putnam, GA - Hancock, GA",478,72,
03/08/2021,2020,202,"Polk (Lakeland), FL - Highlands, FL",10705,974,
03/08/2021,2020,203,"Orange (Chapel Hill), NC - Harnett, NC",3120,203,
03/08/2021,2020,204,"Spalding (Griffin), GA - Butts, GA",1306,137,
03/08/2021,2020,205,"Moore, NC - Richmond, NC",2185,137,
03/08/2021,2020,206,"Laurens, GA - Toombs, GA",2117,343,
03/08/2021,2020,207,"Robeson, NC - Columbus, NC",3129,249,
03/08/2021,2020,208,"Maury, TN - Giles, TN",2212,212,
03/08/2021,2020,209,"Jackson, NC - Macon, NC",1142,32,
03/08/2021,2020,210,"Madison (Huntsville), AL - Limestone, AL",5740,405,
03/08/2021,2020,211,"Rutherford (Murfreesboro), TN - Warren, TN",3855,358,
03/08/2021,2020,212,"Charleston (Charleston), SC - Berkeley, SC",8021,640,
03/08/2021,2020,213,"Sarasota (Sarasota), FL - Charlotte, FL",10432,772,
03/08/2021,2020,214,"Nash, NC - Halifax, NC",2654,203,
03/08/2021,2020,215,"Putnam, TN - White, TN",2345,280,
03/08/2021,2020,216,"Stephens, GA - Hart, GA",1152,116,
03/08/2021,2020,217,"Hamblen (Morristown), TN - Jefferson, TN",2281,196,
03/08/2021,2020,218,"Gaston (Gastonia), NC - Cleveland, NC",5453,422,
03/08/2021,2020,219,"Lauderdale (Florence), AL - Colbert, AL",2980,314,
03/08/2021,2020,220,"Jasper, GA",177,17,
03/08/2021,2020,221,"Palm Beach (West Palm Beach), FL - St. Lucie, FL",24129,2415,
03/08/2021,2020,222,"Bulloch, GA - Emanuel, GA",1405,159,
03/08/2021,2020,223,"Cumberland, TN - Fentress, TN",1526,110,
03/08/2021,2020,224,"Etowah (Gadsden), AL - Marshall, AL",4567,548,
03/08/2021,2020,225,"Buncombe (Asheville), NC - Henderson, NC",5470,281,
03/08/2021,2020,226,"Anderson (Oak Ridge), TN - Roane, TN",3410,243,
03/08/2021,2020,227,"Hillsborough (Tampa), FL - Pinellas, FL",36559,2671,
03/08/2021,2020,228,"Decatur, GA - Seminole, GA",677,68,
03/08/2021,2020,229,"Catawba (Hickory), NC - Burke, NC",3727,248,
03/08/2021,2020,230,"Wayne, GA - Appling, GA",651,95,
03/08/2021,2020,231,"Sumner (Hendersonville), TN - Wilson, TN",4297,438,
03/08/2021,2020,232,"Lawrence, TN - Wayne, TN",1082,105,
03/08/2021,2020,233,"Marion (Ocala), FL - Citrus, FL",9360,729,
03/08/2021,2020,234,"Montgomery (Clarksville), TN - Stewart, TN",2103,163,
03/08/2021,2020,235,"Cabarrus (Concord), NC - Rowan, NC",3926,282,
03/08/2021,2020,236,"Coffee, GA - Jeff Davis, GA",869,139,
03/08/2021,2020,237,"Brevard (Palm Bay), FL - Indian River, FL",10762,666,
03/08/2021,2020,238,"Wayne, NC - Lenoir, NC",2672,202,
03/08/2021,2020,239,"Coffee, TN - Franklin, TN",1762,168,
03/08/2021,2020,240,"Yancey, NC - Avery, NC",595,23,
03/08/2021,2020,241,"Talladega, AL - Clay, AL",1611,200,
03/08/2021,2020,242,"Onslow, NC - Craven, NC",3419,171,
03/08/2021,2020,243,"Hertford, NC - Bertie, NC",897,104,
03/08/2021,2020,244,"York (Rock Hill), SC - Chester, SC",3118,238,
03/08/2021,2020,245,"Hardin, TN - McNairy, TN",938,80,
03/08/2021,2020,246,"Horry, SC - Georgetown, SC",5673,452,
03/08/2021,2020,247,"Marion, AL - Fayette, AL",799,111,
03/08/2021,2020,248,"Dyer, TN - Lauderdale, TN",1082,119,
03/08/2021,2020,249,"Lancaster, SC - Kershaw, SC",1955,177,
03/08/2021,2020,250,"Washington, GA - Jefferson, GA",619,97,
03/08/2021,2020,251,"St. Johns (St. Augustine), FL - Putnam, FL",3531,190,
03/08/2021,2020,252,"Greene, TN - Cocke, TN",1790,158,
03/08/2021,2020,253,"Elbert, GA - Wilkes, GA",513,40,
03/08/2021,2020,254,"Colquitt, GA",639,57,
03/08/2021,2020,256,"Wilkes, NC",733,40,
03/08/2021,2020,257,"Osceola, FL",3003,298,
03/08/2021,2020,258,"Cherokee, NC - Clay, NC",516,34,
03/08/2021,2020,259,"Butler, AL",312,55,
03/08/2021,2020,260,"Bedford, TN",606,71,
03/08/2021,2020,261,"McDowell, NC",551,59,
03/08/2021,2020,262,"Cumberland (Fayetteville), NC - Sampson, NC",3206,147,
03/08/2021,2020,263,"Scott, TN",282,29,
03/08/2021,2020,264,"Pasquotank, NC - Dare, NC",1080,63,
03/08/2021,2020,266,"Manatee, FL",4833,451,
03/08/2021,2020,267,"Alamance, NC",1786,101,
03/08/2021,2020,268,"Rabun, GA",295,26,
03/08/2021,2020,269,"Upson, GA - Lamar, GA",966,126,
03/08/2021,2020,270,"Franklin, IN",282,31,
03/08/2021,2020,271,"Grand Traverse, MI - Manistee, MI",2561,129,
03/08/2021,2020,272,"Jefferson (Louisville), KY - Bullitt, KY",12618,1126,
03/08/2021,2020,273,"Wabash, IL",159,18,
03/08/2021,2020,274,"Wayne (Detroit), MI - Oakland, MI",46769,6290,
03/08/2021,2020,275,"Marion (Indianapolis), IN - Johnson, IN",15346,1993,
03/08/2021,2020,276,"Monroe, MI",1791,139,
03/08/2021,2020,277,"Peoria (Peoria), IL - Tazewell, IL",4733,514,
03/08/2021,2020,278,"Brown (Green Bay), WI - Oconto, WI",3534,369,
03/08/2021,2020,279,"Champaign (Champaign), IL - Coles, IL",2737,220,
03/08/2021,2020,280,"Milwaukee (Milwaukee), WI - Waukesha, WI",16970,1763,
03/08/2021,2020,281,"Franklin (Columbus), OH - Delaware, OH",14906,1443,
03/08/2021,2020,282,"Marathon (Wausau), WI - Wood, WI",3453,412,
03/08/2021,2020,283,"Jackson, OH - Gallia, OH",1298,105,
03/08/2021,2020,284,"Gogebic, MI - Ontonagon, MI",384,69,
03/08/2021,2020,285,"Ingham (Lansing), MI - Eaton, MI",5495,365,
03/08/2021,2020,286,"Ramsey (St. Paul), MN - Dakota, MN",10878,1263,
03/08/2021,2020,287,"Cook (Chicago), IL - DuPage, IL",67938,9892,
03/08/2021,2020,288,"Cuyahoga (Cleveland), OH - Lake, OH",21390,2161,
03/08/2021,2020,289,"St. Louis (Duluth), MN - Itasca, MN",4208,376,
03/08/2021,2020,290,"Allamakee, IA",221,33,
03/08/2021,2020,291,"Winnebago (Rockford), IL - Ogle, IL",5043,571,
03/08/2021,2020,292,"Allen (Lima), OH - Auglaize, OH",3747,559,
03/08/2021,2020,293,"Marquette, MI - Delta, MI",1612,123,
03/08/2021,2020,294,"Chippewa, MI - Emmet, MI",1660,111,
03/08/2021,2020,295,"Montgomery (Dayton), OH - Greene, OH",10606,1115,
03/08/2021,2020,296,"Muskegon (Muskegon), MI - Newaygo, MI",3508,380,
03/08/2021,2020,297,"St. Clair (Port Huron), MI - Sanilac, MI",2669,242,
03/08/2021,2020,298,"Eau Claire (Eau Claire), WI - Chippewa, WI",2285,198,
03/08/2021,2020,299,"Madison (Alton), IL - Jersey, IL",3975,386,
03/08/2021,2020,300,"Tippecanoe (Lafayette), IN - Clinton, IN",2461,193,
03/08/2021,2020,301,"Dane (Madison), WI - Sauk, WI",6652,463,
03/08/2021,2020,302,"Stephenson, IL - Jo Daviess, IL",987,93,
03/08/2021,2020,303,"Will (Joliet), IL - Grundy, IL",6436,743,
03/08/2021,2020,304,"Allen (Fort Wayne), IN - Noble, IN",6171,729,
03/08/2021,2020,305,"Macon (Decatur), IL - Shelby, IL",2130,223,
03/08/2021,2020,306,"Winnebago (Oshkosh), WI - Fond du Lac, WI",4785,512,
03/08/2021,2020,307,"Rock Island (Moline), IL - Henry, IL",2943,330,
03/08/2021,2020,308,"Lake (Gary), IN - Porter, IN",8554,941,
03/08/2021,2020,309,"Kent (Grand Rapids), MI - Ionia, MI",8108,705,
03/08/2021,2020,310,"Crawford, IL - Lawrence, IL",448,66,
03/08/2021,2020,311,"Clark, IL",228,22,
03/08/2021,2020,312,"St. Joseph (South Bend), IN - Marshall, IN",4311,548,
