MMWR_week,year,week_start_date,week_end_date,case_count,perc_hcw_known
missing date fields,missing date fields,missing date fields,missing date fields,324,
10,2020,3/1/2020,3/7/2020,518,48.77
11,2020,3/8/2020,3/14/2020,2312,46.64
12,2020,3/15/2020,3/21/2020,7629,36.41
13,2020,3/22/2020,3/28/2020,10716,30.84
14,2020,3/29/2020,4/4/2020,12401,28.11
15,2020,4/5/2020,4/11/2020,11414,26.10
16,2020,4/12/2020,4/18/2020,9956,28.04
17,2020,4/19/2020,4/25/2020,9475,26.79
18,2020,4/26/2020,5/2/2020,8695,24.98
19,2020,5/3/2020,5/9/2020,7163,24.61
20,2020,5/10/2020,5/16/2020,6469,24.09
21,2020,5/17/2020,5/23/2020,5909,24.31
22,2020,5/24/2020,5/30/2020,4685,24.09
23,2020,5/31/2020,6/6/2020,4365,25.43
24,2020,6/7/2020,6/13/2020,6358,26.97
25,2020,6/14/2020,6/20/2020,6007,24.85
26,2020,6/21/2020,6/27/2020,7545,22.52
27,2020,6/28/2020,7/4/2020,8323,21.94
28,2020,7/5/2020,7/11/2020,9740,21.83
29,2020,7/12/2020,7/18/2020,9281,20.31
30,2020,7/19/2020,7/25/2020,8471,20.17
31,2020,7/26/2020,8/1/2020,8383,21.11
32,2020,8/2/2020,8/8/2020,7946,21.03
33,2020,8/9/2020,8/15/2020,7380,19.98
34,2020,8/16/2020,8/22/2020,7227,20.36
35,2020,8/23/2020,8/29/2020,6932,23.43
36,2020,8/30/2020,9/5/2020,6562,26.22
37,2020,9/6/2020,9/12/2020,6876,26.13
38,2020,9/13/2020,9/19/2020,7942,23.77
39,2020,9/20/2020,9/26/2020,8301,24.11
40,2020,9/27/2020,10/3/2020,9281,25.71
41,2020,10/4/2020,10/10/2020,10530,27.55
42,2020,10/11/2020,10/17/2020,11304,24.34
43,2020,10/18/2020,10/24/2020,13542,23.87
44,2020,10/25/2020,10/31/2020,16256,22.64
45,2020,11/1/2020,11/7/2020,20492,22.83
46,2020,11/8/2020,11/14/2020,22313,20.31
47,2020,11/15/2020,11/21/2020,24162,19.38
48,2020,11/22/2020,11/28/2020,23076,18.75
49,2020,11/29/2020,12/5/2020,27100,18.54
50,2020,12/6/2020,12/12/2020,25975,17.63
51,2020,12/13/2020,12/19/2020,23313,16.43
52,2020,12/20/2020,12/26/2020,21532,15.57
53,2020,12/27/2020,1/2/2021,24134,16.08
1,2021,1/3/2021,1/9/2021,21611,14.41
2,2021,1/10/2021,1/16/2021,15648,14.57
3,2021,1/17/2021,1/23/2021,11865,15.32
4,2021,1/24/2021,1/30/2021,8945,14.77
5,2021,1/31/2021,2/6/2021,6341,16.03
6,2021,2/7/2021,2/13/2021,4455,14.67
7,2021,2/14/2021,2/20/2021,3515,15.75
8,2021,2/21/2021,2/27/2021,3205,14.15
9,2021,2/28/2021,3/6/2021,2824,14.93
10,2021,3/7/2021,3/13/2021,2914,16.80
11,2021,3/14/2021,3/20/2021,3027,17.69
12,2021,3/21/2021,3/27/2021,3451,17.15
13,2021,3/28/2021,4/3/2021,3517,17.20
14,2021,4/4/2021,4/10/2021,4066,18.27
15,2021,4/11/2021,4/17/2021,3725,18.36
16,2021,4/18/2021,4/24/2021,3642,18.74
17,2021,4/25/2021,5/1/2021,3369,20.42
18,2021,5/2/2021,5/8/2021,2874,18.37
19,2021,5/9/2021,5/15/2021,2473,15.84
20,2021,5/16/2021,5/22/2021,1977,20.33
21,2021,5/23/2021,5/29/2021,1384,20.22
22,2021,5/30/2021,6/5/2021,1270,20.92
23,2021,6/6/2021,6/12/2021,1165,20.54
24,2021,6/13/2021,6/19/2021,1228,18.21
25,2021,6/20/2021,6/26/2021,1475,16.98
26,2021,6/27/2021,7/3/2021,1854,16.45
27,2021,7/4/2021,7/10/2021,2677,19.63
28,2021,7/11/2021,7/17/2021,3734,15.69
29,2021,7/18/2021,7/24/2021,5240,17.57
30,2021,7/25/2021,7/31/2021,6459,15.89
31,2021,8/1/2021,8/7/2021,7508,14.15
32,2021,8/8/2021,8/14/2021,8257,14.68
33,2021,8/15/2021,8/21/2021,8731,14.40
34,2021,8/22/2021,8/28/2021,9130,14.03
35,2021,8/29/2021,9/4/2021,8604,15.15
36,2021,9/5/2021,9/11/2021,8467,15.12
37,2021,9/12/2021,9/18/2021,7834,15.03
38,2021,9/19/2021,9/25/2021,7187,16.61
39,2021,9/26/2021,10/2/2021,7191,17.42
40,2021,10/3/2021,10/9/2021,6699,18.10
41,2021,10/10/2021,10/16/2021,5977,19.42
42,2021,10/17/2021,10/23/2021,5615,20.50
43,2021,10/24/2021,10/30/2021,5518,19.31
44,2021,10/31/2021,11/6/2021,6232,19.55
45,2021,11/7/2021,11/13/2021,6786,17.64
46,2021,11/14/2021,11/20/2021,6861,16.33
47,2021,11/21/2021,11/27/2021,6921,16.14
48,2021,11/28/2021,12/4/2021,8181,14.75
49,2021,12/5/2021,12/11/2021,7323,13.92
50,2021,12/12/2021,12/18/2021,8342,11.83
51,2021,12/19/2021,12/25/2021,13373,10.06
52,2021,12/26/2021,1/1/2022,25849,8.81
1,2022,1/2/2022,1/8/2022,33859,8.81
2,2022,1/9/2022,1/15/2022,29254,9.09
3,2022,1/16/2022,1/22/2022,24775,9.65
4,2022,1/23/2022,1/29/2022,17271,9.97
5,2022,1/30/2022,2/5/2022,11231,10.92
6,2022,2/6/2022,2/12/2022,7265,11.25
7,2022,2/13/2022,2/19/2022,4857,10.44
8,2022,2/20/2022,2/26/2022,3253,10.42
9,2022,2/27/2022,3/5/2022,2188,10.63
10,2022,3/6/2022,3/12/2022,1733,9.37
11,2022,3/13/2022,3/19/2022,1451,5.80
12,2022,3/20/2022,3/26/2022,1508,9.44
13,2022,3/27/2022,4/2/2022,1566,9.65
14,2022,4/3/2022,4/9/2022,2003,10.65
15,2022,4/10/2022,4/16/2022,2606,12.08
16,2022,4/17/2022,4/23/2022,4331,14.61
17,2022,4/24/2022,4/30/2022,4229,11.49
18,2022,5/1/2022,5/7/2022,5552,10.83
19,2022,5/8/2022,5/14/2022,6743,10.50
20,2022,5/15/2022,5/21/2022,6911,10.35
21,2022,5/22/2022,5/28/2022,6362,9.84
22,2022,5/29/2022,6/4/2022,6520,9.75
23,2022,6/5/2022,6/11/2022,6047,11.33
24,2022,6/12/2022,6/18/2022,5805,11.30
25,2022,6/19/2022,6/25/2022,6234,11.10
26,2022,6/26/2022,7/2/2022,6076,9.86
27,2022,7/3/2022,7/9/2022,6741,9.97
28,2022,7/10/2022,7/16/2022,6770,9.37
29,2022,7/17/2022,7/23/2022,6728,9.04
30,2022,7/24/2022,7/30/2022,6419,8.66
31,2022,7/31/2022,8/6/2022,6112,8.40
32,2022,8/7/2022,8/13/2022,5252,7.96
33,2022,8/14/2022,8/20/2022,5160,8.77
34,2022,8/21/2022,8/27/2022,4582,8.46
35,2022,8/28/2022,9/3/2022,3959,7.77
36,2022,9/4/2022,9/10/2022,3530,9.22
37,2022,9/11/2022,9/17/2022,3359,8.76
38,2022,9/18/2022,9/24/2022,3076,8.20
39,2022,9/25/2022,10/1/2022,2699,9.83
40,2022,10/2/2022,10/8/2022,2733,9.03
41,2022,10/9/2022,10/15/2022,2757,9.64
42,2022,10/16/2022,10/22/2022,2752,9.50
43,2022,10/23/2022,10/29/2022,2885,9.23
44,2022,10/30/2022,11/5/2022,7125,15.33
45,2022,11/6/2022,11/12/2022,2850,7.76
46,2022,11/13/2022,11/19/2022,3166,8.64
47,2022,11/20/2022,11/26/2022,3196,9.48
48,2022,11/27/2022,12/3/2022,4062,6.89
49,2022,12/4/2022,12/10/2022,3987,8.29
50,2022,12/11/2022,12/17/2022,3957,8.19
51,2022,12/18/2022,12/24/2022,3863,7.26
52,2022,12/25/2022,12/31/2022,3963,7.58
1,2023,1/1/2023,1/7/2023,3458,7.04
2,2023,1/8/2023,1/14/2023,2431,6.58
3,2023,1/15/2023,1/21/2023,2370,7.33
4,2023,1/22/2023,1/28/2023,2372,7.14
5,2023,1/29/2023,2/4/2023,2439,7.83
6,2023,2/5/2023,2/11/2023,2422,8.16
7,2023,2/12/2023,2/18/2023,2350,8.22
8,2023,2/19/2023,2/25/2023,2301,8.18
9,2023,2/26/2023,3/4/2023,1947,7.35
10,2023,3/5/2023,3/11/2023,1740,8.59
11,2023,3/12/2023,3/18/2023,2069,4.96
12,2023,3/19/2023,3/25/2023,1396,7.77
13,2023,3/26/2023,4/1/2023,1113,7.83
14,2023,4/2/2023,4/8/2023,937,8.00
15,2023,4/9/2023,4/15/2023,891,7.99
16,2023,4/16/2023,4/22/2023,687,7.70
17,2023,4/23/2023,4/29/2023,618,7.54
18,2023,4/30/2023,5/6/2023,651,7.99
19,2023,5/7/2023,5/13/2023,479,5.83
20,2023,5/14/2023,5/20/2023,387,5.59
21,2023,5/21/2023,5/27/2023,394,6.49
22,2023,5/28/2023,6/3/2023,348,5.63
23,2023,6/4/2023,6/10/2023,325,6.14
24,2023,6/11/2023,6/17/2023,272,6.17
25,2023,6/18/2023,6/24/2023,266,5.33
26,2023,6/25/2023,7/1/2023,301,5.90
27,2023,7/2/2023,7/8/2023,302,7.30
28,2023,7/9/2023,7/15/2023,308,6.33
29,2023,7/16/2023,7/22/2023,394,5.88
30,2023,7/23/2023,7/29/2023,524,5.92
31,2023,7/30/2023,8/5/2023,638,5.51
32,2023,8/6/2023,8/12/2023,743,4.15
33,2023,8/13/2023,8/19/2023,945,2.10
34,2023,8/20/2023,8/26/2023,973,3.65
35,2023,8/27/2023,9/2/2023,905,3.41
36,2023,9/3/2023,9/9/2023,552,3.13
37,2023,9/10/2023,9/16/2023,25,0.49
