MMWR_week,year,week_start_date,week_end_date,death_count,perc_death_known
10,2020,3/1/2020,3/7/2020,6,57.14
11,2020,3/8/2020,3/14/2020,29,60.94
12,2020,3/15/2020,3/21/2020,53,69.25
13,2020,3/22/2020,3/28/2020,78,73.32
14,2020,3/29/2020,4/4/2020,91,71.15
15,2020,4/5/2020,4/11/2020,79,69.70
16,2020,4/12/2020,4/18/2020,60,68.19
17,2020,4/19/2020,4/25/2020,46,68.19
18,2020,4/26/2020,5/2/2020,46,70.63
19,2020,5/3/2020,5/9/2020,22,70.33
20,2020,5/10/2020,5/16/2020,28,67.89
21,2020,5/17/2020,5/23/2020,22,68.22
22,2020,5/24/2020,5/30/2020,18,62.50
23,2020,5/31/2020,6/6/2020,8,56.56
24,2020,6/7/2020,6/13/2020,21,66.97
25,2020,6/14/2020,6/20/2020,16,50.17
26,2020,6/21/2020,6/27/2020,16,52.11
27,2020,6/28/2020,7/4/2020,22,50.76
28,2020,7/5/2020,7/11/2020,26,51.74
29,2020,7/12/2020,7/18/2020,18,50.89
30,2020,7/19/2020,7/25/2020,21,51.80
31,2020,7/26/2020,8/1/2020,21,50.09
32,2020,8/2/2020,8/8/2020,16,49.64
33,2020,8/9/2020,8/15/2020,15,52.86
34,2020,8/16/2020,8/22/2020,22,55.03
35,2020,8/23/2020,8/29/2020,17,56.33
36,2020,8/30/2020,9/5/2020,13,53.46
37,2020,9/6/2020,9/12/2020,17,53.78
38,2020,9/13/2020,9/19/2020,12,54.96
39,2020,9/20/2020,9/26/2020,12,55.54
40,2020,9/27/2020,10/3/2020,18,57.85
41,2020,10/4/2020,10/10/2020,17,58.80
42,2020,10/11/2020,10/17/2020,20,59.42
43,2020,10/18/2020,10/24/2020,24,61.50
44,2020,10/25/2020,10/31/2020,37,63.58
45,2020,11/1/2020,11/7/2020,45,63.50
46,2020,11/8/2020,11/14/2020,43,61.20
47,2020,11/15/2020,11/21/2020,50,58.79
48,2020,11/22/2020,11/28/2020,53,57.81
49,2020,11/29/2020,12/5/2020,76,55.21
50,2020,12/6/2020,12/12/2020,65,51.96
51,2020,12/13/2020,12/19/2020,60,49.53
52,2020,12/20/2020,12/26/2020,72,50.87
53,2020,12/27/2020,1/2/2021,67,50.24
1,2021,1/3/2021,1/9/2021,56,50.42
2,2021,1/10/2021,1/16/2021,34,49.78
3,2021,1/17/2021,1/23/2021,22,49.70
4,2021,1/24/2021,1/30/2021,16,53.71
5,2021,1/31/2021,2/6/2021,13,54.05
6,2021,2/7/2021,2/13/2021,12,57.19
7,2021,2/14/2021,2/20/2021,7,60.57
8,2021,2/21/2021,2/27/2021,<5,61.09
9,2021,2/28/2021,3/6/2021,<5,61.26
10,2021,3/7/2021,3/13/2021,<5,64.24
11,2021,3/14/2021,3/20/2021,5,68.25
12,2021,3/21/2021,3/27/2021,<5,69.46
13,2021,3/28/2021,4/3/2021,<5,70.46
14,2021,4/4/2021,4/10/2021,8,73.81
15,2021,4/11/2021,4/17/2021,5,72.67
16,2021,4/18/2021,4/24/2021,8,72.30
17,2021,4/25/2021,5/1/2021,6,72.04
18,2021,5/2/2021,5/8/2021,5,71.50
19,2021,5/9/2021,5/15/2021,<5,69.75
20,2021,5/16/2021,5/22/2021,7,69.90
21,2021,5/23/2021,5/29/2021,<5,62.93
22,2021,5/30/2021,6/5/2021,<5,58.90
23,2021,6/6/2021,6/12/2021,<5,53.82
24,2021,6/13/2021,6/19/2021,<5,49.10
25,2021,6/20/2021,6/26/2021,10,48.54
26,2021,6/27/2021,7/3/2021,10,43.42
27,2021,7/4/2021,7/10/2021,14,45.98
28,2021,7/11/2021,7/17/2021,8,49.28
29,2021,7/18/2021,7/24/2021,19,52.71
30,2021,7/25/2021,7/31/2021,28,56.09
31,2021,8/1/2021,8/7/2021,22,58.50
32,2021,8/8/2021,8/14/2021,39,61.64
33,2021,8/15/2021,8/21/2021,32,63.62
34,2021,8/22/2021,8/28/2021,33,65.94
35,2021,8/29/2021,9/4/2021,27,66.38
36,2021,9/5/2021,9/11/2021,36,66.06
37,2021,9/12/2021,9/18/2021,29,67.39
38,2021,9/19/2021,9/25/2021,23,66.20
39,2021,9/26/2021,10/2/2021,16,66.14
40,2021,10/3/2021,10/9/2021,25,66.49
41,2021,10/10/2021,10/16/2021,18,64.50
42,2021,10/17/2021,10/23/2021,12,65.59
43,2021,10/24/2021,10/30/2021,12,63.79
44,2021,10/31/2021,11/6/2021,11,67.55
45,2021,11/7/2021,11/13/2021,22,69.14
46,2021,11/14/2021,11/20/2021,19,69.92
47,2021,11/21/2021,11/27/2021,21,67.50
48,2021,11/28/2021,12/4/2021,28,65.73
49,2021,12/5/2021,12/11/2021,22,65.97
50,2021,12/12/2021,12/18/2021,15,61.38
51,2021,12/19/2021,12/25/2021,28,55.48
52,2021,12/26/2021,1/1/2022,21,50.58
1,2022,1/2/2022,1/8/2022,29,51.05
2,2022,1/9/2022,1/15/2022,35,50.92
3,2022,1/16/2022,1/22/2022,20,49.25
4,2022,1/23/2022,1/29/2022,11,51.97
5,2022,1/30/2022,2/5/2022,9,52.46
6,2022,2/6/2022,2/12/2022,7,54.43
7,2022,2/13/2022,2/19/2022,6,56.64
8,2022,2/20/2022,2/26/2022,7,55.24
9,2022,2/27/2022,3/5/2022,0,49.45
10,2022,3/6/2022,3/12/2022,<5,48.99
11,2022,3/13/2022,3/19/2022,<5,45.69
12,2022,3/20/2022,3/26/2022,<5,46.42
13,2022,3/27/2022,4/2/2022,0,51.40
14,2022,4/3/2022,4/9/2022,<5,48.23
15,2022,4/10/2022,4/16/2022,0,49.81
16,2022,4/17/2022,4/23/2022,<5,47.66
17,2022,4/24/2022,4/30/2022,<5,50.39
18,2022,5/1/2022,5/7/2022,0,47.05
19,2022,5/8/2022,5/14/2022,<5,47.09
20,2022,5/15/2022,5/21/2022,0,44.32
21,2022,5/22/2022,5/28/2022,<5,44.69
22,2022,5/29/2022,6/4/2022,<5,45.51
23,2022,6/5/2022,6/11/2022,<5,45.81
24,2022,6/12/2022,6/18/2022,<5,46.03
25,2022,6/19/2022,6/25/2022,<5,43.86
26,2022,6/26/2022,7/2/2022,5,41.75
27,2022,7/3/2022,7/9/2022,<5,41.98
28,2022,7/10/2022,7/16/2022,<5,44.30
29,2022,7/17/2022,7/23/2022,<5,44.53
30,2022,7/24/2022,7/30/2022,<5,45.82
31,2022,7/31/2022,8/6/2022,<5,47.97
32,2022,8/7/2022,8/13/2022,<5,49.30
33,2022,8/14/2022,8/20/2022,<5,46.07
34,2022,8/21/2022,8/27/2022,<5,49.67
35,2022,8/28/2022,9/3/2022,<5,48.09
36,2022,9/4/2022,9/10/2022,0,47.48
37,2022,9/11/2022,9/17/2022,<5,47.63
38,2022,9/18/2022,9/24/2022,0,44.99
39,2022,9/25/2022,10/1/2022,<5,48.17
40,2022,10/2/2022,10/8/2022,5,47.35
41,2022,10/9/2022,10/15/2022,<5,47.84
42,2022,10/16/2022,10/22/2022,<5,48.55
43,2022,10/23/2022,10/29/2022,<5,49.22
44,2022,10/30/2022,11/5/2022,<5,22.09
45,2022,11/6/2022,11/12/2022,<5,42.04
46,2022,11/13/2022,11/19/2022,<5,40.40
47,2022,11/20/2022,11/26/2022,<5,45.46
48,2022,11/27/2022,12/3/2022,<5,43.82
49,2022,12/4/2022,12/10/2022,<5,43.74
50,2022,12/11/2022,12/17/2022,<5,47.13
51,2022,12/18/2022,12/24/2022,<5,46.78
52,2022,12/25/2022,12/31/2022,<5,50.26
1,2023,1/1/2023,1/7/2023,<5,50.90
2,2023,1/8/2023,1/14/2023,<5,51.91
3,2023,1/15/2023,1/21/2023,0,56.41
4,2023,1/22/2023,1/28/2023,<5,55.99
5,2023,1/29/2023,2/4/2023,0,51.74
6,2023,2/5/2023,2/11/2023,0,52.06
7,2023,2/12/2023,2/18/2023,<5,53.40
8,2023,2/19/2023,2/25/2023,0,51.46
9,2023,2/26/2023,3/4/2023,0,52.13
10,2023,3/5/2023,3/11/2023,<5,49.89
11,2023,3/12/2023,3/18/2023,<5,63.22
12,2023,3/19/2023,3/25/2023,<5,49.71
13,2023,3/26/2023,4/1/2023,0,49.33
14,2023,4/2/2023,4/8/2023,0,49.95
15,2023,4/9/2023,4/15/2023,0,46.13
16,2023,4/16/2023,4/22/2023,0,49.34
17,2023,4/23/2023,4/29/2023,<5,49.51
18,2023,4/30/2023,5/6/2023,0,50.23
19,2023,5/7/2023,5/13/2023,0,53.86
20,2023,5/14/2023,5/20/2023,0,42.38
21,2023,5/21/2023,5/27/2023,0,43.65
22,2023,5/28/2023,6/3/2023,0,52.87
23,2023,6/4/2023,6/10/2023,0,42.15
24,2023,6/11/2023,6/17/2023,<5,45.22
25,2023,6/18/2023,6/24/2023,<5,42.11
26,2023,6/25/2023,7/1/2023,0,36.21
27,2023,7/2/2023,7/8/2023,0,42.05
28,2023,7/9/2023,7/15/2023,0,40.91
29,2023,7/16/2023,7/22/2023,0,45.43
30,2023,7/23/2023,7/29/2023,0,41.22
31,2023,7/30/2023,8/5/2023,0,42.95
32,2023,8/6/2023,8/12/2023,0,45.36
33,2023,8/13/2023,8/19/2023,0,45.50
34,2023,8/20/2023,8/26/2023,0,45.22
35,2023,8/27/2023,9/2/2023,0,45.52
36,2023,9/3/2023,9/9/2023,0,49.64
37,2023,9/10/2023,9/16/2023,0,56.00
